BGGId,Name,AvgRating,NumUserRatings
144797,Argent: The Consortium,7.68307,3445
145371,Three Kingdoms Redux,7.89564,1273
145588,Citrus,7.10763,1356
145633,Ascension: Apprentice Edition,7.10734,1041
145639,Coconuts,7.04054,3928
145645,Le Fantôme de l'Opéra,7.00816,1068
145659,Scoville,7.1511,4967
146021,Eldritch Horror,7.78712,31264
146221,Forge War,7.23455,1541
146278,Tash-Kalar: Arena of Legends,7.17381,6412
146312,Ghost Fightin' Treasure Hunters,7.15437,3190
146418,Warhammer: Diskwars,7.08525,1899
146439,BattleLore: Second Edition,7.71742,5873
146508,T.I.M.E Stories,7.50731,24927
146652,Legendary Encounters: An Alien Deck Building Game,7.77802,11885
146791,Shadows of Brimstone: City of the Ancients,7.96848,3565
146816,Sanssouci,7.12729,1452
146886,La Granja,7.65763,9379
146910,Wildcatters,7.61724,1174
147020,Star Realms,7.57958,38249
147154,Blue Moon Legends,7.28963,1926
147253,The Ancient World,7.01021,2060
147303,Carcassonne: South Seas,7.07368,3169
147949,One Night Ultimate Werewolf,7.12041,22919
148228,Splendor,7.43975,63986
148319,Tragedy Looper,7.20371,4129
148575,Marvel Dice Masters: Avengers vs. X-Men,7.14698,5579
148601,1944: Race to the Rhine,7.23759,1145
148729,Maquis,7.38049,1680
148943,Coup: Rebellion G54,7.01589,2531
148949,Istanbul,7.57049,26867
149776,Fireteam Zero,7.52712,1387
149951,Warfighter: The Tactical Special Forces Card Game,7.70919,1187
150145,Skull King,7.43805,5111
150293,The Ravens of Thri Sahashri,7.17854,1199
150376,Dead of Winter: A Crossroads Game,7.54665,41132
150658,Pandemic: The Cure,7.29033,9786
150997,Shadows of Brimstone: Swamps of Death,8.04943,2267
150999,Valley of the Kings,7.04015,4407
151004,Smash Up: Science Fiction Double Feature,7.28551,3790
151007,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.30364,2488
151022,Baseball Highlights: 2045,7.53594,3930
151347,Millennium Blades,7.7204,4232
151771,La Cosa Nostra,7.69237,1205
152242,Ultimate Werewolf: Deluxe Edition,7.09378,1723
152470,Fief: France 1429,7.45612,2058
153016,Telestrations: 12 Player Party Pack,7.7524,2357
153938,Camel Up,7.04125,23867
154086,Gold West,7.35539,2629
154203,Imperial Settlers,7.37928,22109
154458,Akrotiri,7.22935,3908
154597,Hive Pocket,7.69946,9689
154809,Nippon,7.68168,4420
154825,Arkwright,7.84001,2127
155068,Arcadia Quest,7.68101,9535
155255,Pax Pamir,7.50889,1095
155426,Castles of Mad King Ludwig,7.54596,23017
155463,DC Comics Deck-Building Game: Forever Evil,7.25626,1179
155624,Specter Ops,7.22481,5866
155703,Evolution,7.11335,14446
155731,Tokaido Collector's Edition,7.70065,1286
155821,Inis,7.81387,14363
155873,Power Grid Deluxe: Europe/North America,7.99965,3945
155987,Abyss,7.33328,11473
156009,Port Royal,7.13468,14189
156091,Sons of Anarchy: Men of Mayhem,7.28287,2682
156129,Deception: Murder in Hong Kong,7.49217,17626
156336,Onirim (Second Edition),7.07376,8759
156496,March of the Ants,7.18519,1224
156546,Monikers,7.80156,4000
156566,Lords of Xidit,7.11898,5547
156689,Legendary: A Marvel Deck Building Game – Villains,7.58636,2593
156714,Doomtown: Reloaded,7.14349,2196
156776,"Warhammer 40,000: Conquest",7.36592,2962
156858,Black Orchestra,7.51831,4878
